inst.name,inst.abbrev,colour.primary,colour.secondary,location
"Michigan State University","MSU","#18453B","#FFFFFF","https://brand.msu.edu/visual/color-palette"
"Ohio State University","Ohio State","#BB0000","#666666","https://teamcolorcodes.com/ohio-state-buckeyes-color-codes/"
"Indiana University","Indiana","#990000","#E84A27","https://styleguide.iu.edu/visual-style/colors.html"
"Northwestern University","Northwestern","#4E2A84","#E4E0EE","https://www.northwestern.edu/brand/visual-identity/color-palettes/"
"Pennsylvania State University","Penn State","#001E44","#ffffff","https://brand.psu.edu/design-toolkit/design-essentials"
"Purdue University","Purdue","#CFB991","#000000","https://marcom.purdue.edu/our-brand/visual-language-guideline/"
"Rutgers University","Rutgers","#cc0033","#525C5C","https://communications.rutgers.edu/brand-policies-visual-identity-guidelines"
"University of Illinois","Illinois","#FF552E","#13294B","https://marketing.illinois.edu/design/color"
"University of Iowa","Iowa","#FFCD00","#000000","https://brand.uiowa.edu/color"
"University of Maryland","Maryland","#F0163A","#FFD90F","https://brand.umd.edu/universityidentity.html"
"University of Michigan","Michigan","#FFCB05","#00274C","https://brand.umich.edu/design-resources/colors/"
"University of Minnesota","Minnesota","#ffcc33","#7a0019","https://university-relations.umn.edu/resources/colors-and-type"
"University of Nebraska","Nebraska","#d00000", "#f5f1e7","https://ucomm.unl.edu/brand/colors"
"University of Wisconsin","Wisconsin","#da004c","#ffffff","https://brand.wisc.edu/print/colors/"
